gene_id,Ctr_1,Ctr_2,Ctr_3,TTT_1,TTT_2,TTT_3
ENSG00000134900,20.02346001,21.20208651,21.56691673,21.83697771,20.57554436,19.17727977
ENSG00000101294,11.56325185,11.92864786,12.06241627,13.81735628,13.80444846,14.32625929
ENSG00000012822,19.07434598,18.86755651,20.40436582,11.54719894,10.63874823,13.35064371
ENSG00000171223,86.43653782,73.36061568,77.99138542,68.04475177,75.14955105,78.003337
ENSG00000152102,25.5936049,24.01616718,23.65854086,28.25172652,25.80906319,26.45922978
ENSG00000113048,24.57632705,20.44704559,18.77207351,23.47404912,19.85676639,20.94103838
ENSG00000169223,62.47652897,54.70396307,55.69277395,59.13285402,60.49541495,61.72956221
ENSG00000167522,5.708423389,6.609174138,6.903727466,7.016420022,7.722396342,8.770283366
ENSG00000106078,10.45084294,10.31939324,9.713381098,9.143493274,8.833826895,9.467548032
ENSG00000110400,16.69829825,18.68948208,17.85617252,16.91642052,17.30581838,20.37831771
ENSG00000140105,15.43274868,14.14639245,12.70881811,27.38243613,31.68336105,29.57090469
ENSG00000233276,124.3912355,86.59297353,94.32519386,89.00379863,97.71593377,88.91461416
ENSG00000164163,20.86913979,18.46480616,15.60733862,26.62306462,29.95337536,21.32676821
ENSG00000099804,76.7551441,63.91202738,70.71851739,66.57683635,76.41771534,73.81997172
ENSG00000082641,17.51489386,20.25676408,19.99127629,26.17304379,28.12077864,30.69744367
ENSG00000089737,16.72129492,15.53857483,15.01767644,16.86481242,16.11179537,15.86883474
ENSG00000171456,8.769910386,11.00696229,11.50529526,9.697074046,9.248855333,10.54429053
ENSG00000102034,34.72174989,33.12411602,31.15770118,31.54777197,29.28166147,32.04040599
ENSG00000103966,20.13141842,17.10490447,17.29727349,16.00847452,17.7759702,16.8759706
ENSG00000187653,1254.616856,1060.775474,1045.82137,1006.978912,935.3478242,836.8603973
ENSG00000173153,41.99426122,35.91996423,38.77865589,50.22621837,55.02022794,52.07219697
ENSG00000055917,21.1675991,19.72794391,17.07264016,21.63747101,21.41391548,17.62266595
ENSG00000092758,32.39292185,30.29852288,38.91426899,22.66555654,23.71462052,23.72768428
ENSG00000157557,35.57540333,33.88219932,30.47204775,29.35941397,24.96077983,25.4957756
ENSG00000125637,10.79866457,11.07665435,11.41044572,8.945390669,8.708827943,10.56507951
ENSG00000061794,77.59563794,62.05949194,51.41343263,79.59939074,81.76411566,65.02748169
ENSG00000186184,14.26104872,11.9061659,11.09056704,12.75411631,12.53715388,11.15605982
ENSG00000188486,80.44888801,74.98903566,71.60722756,93.58164832,92.68143999,98.49576635
ENSG00000197006,22.68175375,17.245417,16.37038754,21.65585852,20.75054356,18.63201228
ENSG00000164897,64.8352192,58.1294891,68.17636246,68.61714888,76.48735973,76.36138023
ENSG00000123575,20.71374856,19.83105407,17.5641896,18.36171267,19.49681554,14.50352527
ENSG00000213442,260.1325151,207.2270865,220.8791822,294.3208234,289.8372583,289.311533
ENSG00000180370,24.42766764,22.59366222,18.15372042,23.98511774,22.28609016,19.46191069
ENSG00000100714,12.75323019,11.8998549,10.47119179,17.49686636,17.33657325,17.62688442
ENSG00000131620,23.21902549,24.27253613,24.90235444,18.40460269,21.79470343,23.73540214
ENSG00000124145,52.6215374,51.53966347,56.73370805,46.70596816,55.7019883,51.43812076
ENSG00000022840,25.81814846,22.89764039,21.57571081,23.51456322,22.40981181,22.41050891
ENSG00000249915,15.18012056,13.73975212,13.38536779,15.01501974,14.80475035,14.1795756
ENSG00000101152,26.11130657,24.69757319,24.26564463,26.48576302,25.82878639,27.44444388
ENSG00000165661,23.11837159,27.83518577,30.89640577,29.60019691,33.24744882,36.39944632
ENSG00000071462,14.6506431,13.2879953,14.0345136,18.60836194,22.03645829,20.58121602
ENSG00000248527,126.891181,181.0539544,247.7576602,233.7186853,219.5800247,204.5971015
ENSG00000061938,10.09890255,11.14456323,13.44544235,9.635814535,11.54031119,12.42411236
ENSG00000169727,19.92514395,17.47133534,18.2464588,25.5668028,26.69182152,25.21414053
ENSG00000182512,52.76247965,41.88136059,41.87447559,50.82912977,53.7716081,46.33465297
ENSG00000143537,17.22851763,16.74290946,16.86261328,23.62772142,24.0448222,25.69348085
ENSG00000171530,43.50779464,31.63475518,39.54920293,52.47567331,56.99926822,44.32684571
ENSG00000163660,14.0840279,20.36484014,21.19374295,11.82696131,13.40476777,12.84008433
ENSG00000133243,27.37524092,22.43804139,23.98823612,21.28403845,20.85405815,21.26548065
ENSG00000124198,15.22628623,15.96635911,15.71203252,14.89287525,14.92916087,14.49236101
ENSG00000157483,17.16601916,14.72068194,15.68410285,13.69575786,14.00881747,14.2634303
ENSG00000077312,59.72156989,53.63134296,57.08104391,57.0241291,60.55257275,57.51805222
ENSG00000023191,18.58553695,14.52430993,15.65736137,19.62542576,21.92887039,20.20980241
ENSG00000124006,18.25280223,16.89612135,17.19097806,12.02900724,9.350865735,10.84946469
ENSG00000175029,13.67247642,12.02599012,11.29409476,12.88245636,12.88872357,11.50235362
ENSG00000197601,17.17688,17.2728772,15.17448701,19.40941373,23.07947224,16.42045923
ENSG00000132676,29.54417108,23.90080773,24.30038711,33.40793271,33.91864506,32.24348817
ENSG00000112078,24.38864366,20.98308628,18.58991092,23.36168223,21.53374799,21.07292992
ENSG00000165502,205.1090709,162.0478566,183.8610415,174.7752946,199.3649961,165.5736496
ENSG00000142669,88.08202623,72.84101963,78.36546368,65.25051464,80.86142318,69.24250777
ENSG00000161547,38.75873694,45.02153157,46.91280495,44.95031722,49.93861136,44.0886635
ENSG00000120875,20.16073954,17.85363812,17.77491504,17.59087582,19.41827563,18.89113714
ENSG00000059573,31.60824188,34.2115877,30.16209823,39.39721298,39.148686,40.57520309
ENSG00000109920,14.63677215,19.73467685,21.12912676,17.04979554,16.84323632,17.62908838
ENSG00000139641,24.51265272,27.5884642,24.75760267,24.10325031,21.34090791,24.87628863
ENSG00000174243,26.59252342,23.17980866,22.6087243,25.70984116,25.0008945,26.23454051
ENSG00000111667,40.19779665,36.13128607,31.24645052,38.07371633,33.29083668,36.9149384
ENSG00000096063,20.04597089,19.07289575,17.27920002,22.61107573,22.60267647,19.34179133
ENSG00000179091,65.87072776,52.61823097,49.6270084,76.94552453,84.00181312,80.41670411
ENSG00000105976,18.53885192,18.58461054,15.95495864,20.99308419,21.20539285,19.51152284
ENSG00000067704,34.14249713,32.35763321,26.83838714,36.5652958,33.61417092,30.13372375
ENSG00000154229,12.7424164,14.26316038,12.82231568,11.32481114,9.937031612,11.16057439
ENSG00000130158,10.30504761,11.95039668,12.78487927,8.779966417,9.383766305,11.71256569
ENSG00000007168,17.53460306,17.72761216,15.96542329,17.13635063,15.86862582,15.00879225
ENSG00000185950,18.94964867,19.75890817,17.09088216,14.21968591,13.948162,14.75020438
ENSG00000066117,27.50249389,26.62495652,23.91128959,27.57222582,24.28161684,26.58605969
ENSG00000147955,45.25151483,43.83291119,45.66878474,74.66261406,77.5097296,79.97731443
ENSG00000166295,32.29686476,25.72792172,26.26976456,34.95601197,35.80273677,31.107137
ENSG00000156709,41.69701517,37.10560558,34.676529,43.37861622,43.5208798,42.52079903
ENSG00000147123,102.6134726,80.35739098,78.17237096,100.6354763,104.0491157,100.362589
ENSG00000089248,40.15248091,33.55141025,35.57625577,51.25454537,50.26681017,50.20928694
ENSG00000169689,95.00709845,73.51336128,92.63725599,88.7930458,87.57662776,88.31052662
ENSG00000155380,25.17834071,24.47245094,19.30797459,29.17269076,29.37679256,23.43984394
ENSG00000119689,30.813636,27.06662427,26.40102961,31.75821073,30.28467734,30.01011046
ENSG00000132466,11.08596278,11.1756136,9.573356495,12.55641118,10.63799743,11.47954383
ENSG00000023228,11.36301444,10.2664484,8.726462273,12.53836583,11.2189224,11.14647084
ENSG00000089351,23.90666296,23.04587345,22.8279138,20.46560642,21.82166563,22.71201433
ENSG00000137492,19.82807203,15.25808841,13.90012771,20.57000051,18.69011282,15.47685188
ENSG00000108091,19.19709006,16.03850884,15.1075704,20.89028159,20.43192239,17.43266927
ENSG00000114993,27.98761504,27.37881882,28.65354708,22.81130641,22.96032958,24.45072662
ENSG00000101109,14.31344812,15.1268304,15.42909745,13.89270117,14.56695989,14.90940684
ENSG00000128989,20.84067093,19.11448575,16.93642904,21.28455151,20.88656196,16.64942491
ENSG00000183963,14.32403614,14.46683999,15.74451117,10.45768313,11.16167273,11.99682798
ENSG00000171988,13.4970819,14.22591145,13.22774791,10.93010493,10.91447045,9.454390305
ENSG00000147130,21.27777703,23.20135755,22.0677812,16.10167576,15.16694213,17.58652063
ENSG00000153113,11.52027431,10.00182872,10.36719953,10.9076663,11.70556213,9.842820872
ENSG00000064102,37.91997613,32.98407103,31.69091068,44.40461199,51.99606308,40.46415322
ENSG00000102606,10.3491368,12.0952646,12.15608478,10.61621361,10.76214204,11.96232693
ENSG00000006704,18.7270805,18.42580501,18.91736933,20.509584,23.63381741,22.81186153
